log_feature,metric_feature,fusion_features,label
26274,52000,1.30E+149,[1]
26020,-1,,[1]
-1,52000,55361221.15,[1]
13929,2982,23033831577,
18502,52000,2711149.47,[1]
26091,52000,56194284.91,[1]
24860,52000,73610456.21,[1]
32668,52000,73256943.65,[1]
10333,-1,,[1]
25915,52000,54356704.31,[0]
19235,52000,5243065.722,[1]
18162,52000,55404461.01,[1]
-1,52000,905510.8828,[1]
-1,2897,36882853300,
-1,52000,64432547.27,[1]
39,-1,,[1]
26150,-1,,[1]
48698,-1,,[0]
13737,52000,6.86E+148,[1]
19603,52000,74433308.95,[1]
8983,2785,20058808298,
-1,52000,939341.7754,[1]
-1,52000,2783989.146,[1]
26172,52000,2.38E+145,[1]
-1,52000,62625978.95,[1]
26163,52000,490303.9539,[0]
13867,-1,,[1]
17145,52000,59526796.88,[1]
39438,52000,56374205.06,[1]
13443,-1,,[1]
25929,-1,,[1]
-1,52000,6.17E+149,[1]
18290,52000,2379898.856,[1]
25917,52000,68060007.5,[0]
-1,52000,1.60E+150,
-1,52000,4780373.713,[1]
18662,52000,71116642.03,[1]
-1,52000,56090604.68,[1]
25429,52000,69653020.22,[1]
-1,52000,2.52E+150,
18721,52000,498843.8936,[1]
13489,52000,1.57E+149,[1]
-1,52000,2478045.586,[1]
11065,2697,33388202982,
-1,2930,48924357279,
12568,2633,32187964197,
-1,2982,38871081227,
26527,52000,74885755.52,[1]
15407,52000,2492412.453,[1]
-1,52000,9.51E+146,[1]
12544,52000,891700.3523,[1]
26203,-1,,[1]
14005,52000,2.45E+150,[1]
-1,52000,5911457.94,
-1,52000,474008.1053,[1]
10782,-1,,[1]
26381,52000,968397.5961,[1]
2487,52000,4.89E+145,[1]
11432,52000,2515650.026,[1]
-1,2897,38385420424,
17121,-1,,[1]
18386,52000,5106074.103,[1]
26297,-1,,[1]
17454,-1,,[1]
26150,52000,2543442.66,[1]
18576,-1,,[1]
445,-1,,[1]
-1,52000,2700251.32,[1]
26334,52000,2653468.643,[1]
242,52000,67068911.88,[1]
-1,52000,2.20E+144,[1]
14411,52000,980055.579,[1]
-1,2909,33959278962,
43691,52000,1.43E+150,[1]
-1,2649,39488776964,
16924,52000,5.17E+149,[1]
-1,52000,56401663.38,[1]
25954,-1,,[1]
-1,52000,57967599.52,[1]
26142,52000,3.94E+149,[1]
25989,52000,4.64E+150,[1]
32670,52000,4.60E+150,[1]
16346,52000,899.4748336,[1]
16868,52000,57241015.56,[1]
-1,3038,28168401026,
32264,-1,,[1]
353,-1,,[1]
18229,2889,31601300589,
18374,52000,4.82E+149,[1]
-1,2621,35117470614,
25844,52000,5.64E+142,[1]
10219,-1,,[1]
3322,52000,74437473.08,[1]
26297,-1,,[1]
25908,52000,66790446.3,[1]
-1,2841,37633877739,
26298,52000,1108862.263,[1]
17192,52000,63402715.67,[1]
24113,52000,7.26E+149,[1]
21611,52000,3.42E+149,[1]
12999,-1,,[1]
36560,52000,3.43E+150,[1]
2487,52000,5206368.685,[1]
26300,52000,502353.2566,[1]
-1,52000,54066818.79,[1]
246,52000,67364735.45,[1]
12581,-1,,[1]
17049,-1,,[1]
31199,-1,,[1]
-1,52000,1.33E+150,
13466,52000,4959406.475,[1]
25658,52000,64124730.39,[1]
12757,-1,,[1]
11513,52000,59769932.53,[1]
-1,52000,68804738.87,[1]
26233,52000,928707.8931,[1]
-1,52000,64689187.66,[1]
19010,52000,4.58E+143,
-1,52000,67885301.13,[1]
12497,2690,33024997961,
18880,-1,,[1]
14721,2861,25072161432,
-1,2906,42210215010,
8986,52000,1.06E+147,
14368,3130,25427242284,
-1,52000,2556476.069,[1]
-1,52000,1.46E+150,[1]
-1,2921,35864471838,
26231,52000,977471.8381,[1]
48520,52000,68053421.29,[1]
-1,52000,1.44E+149,
15219,52000,5683001.095,[1]
-1,52000,5.93E+148,[1]
39863,-1,,[1]
18784,52000,2470456.53,
9018,-1,,[1]
25840,52000,5255044.674,[1]
-1,52000,3.24E+150,[1]
-1,52000,2576107.304,[1]
26066,-1,,[1]
492,-1,,[1]
26197,52000,66308993.9,[1]
40388,52000,1035605.896,[1]
9009,52000,5.09E+150,[1]
-1,52000,967356.2786,[1]
44676,-1,,[1]
2925,52000,921078.164,[1]
26009,52000,4650075.408,[1]
-1,3098,25109487097,
-1,52000,2907106.446,[1]
-1,52000,57695237.33,[1]
-1,52000,61006461.15,[1]
26123,-1,,[1]
25931,52000,1.25E+149,[1]
-1,52000,2606235.23,[1]
-1,2889,46804987491,
17867,52000,2475337.563,[1]
-1,52000,4746391.437,[1]
-1,324,0.129493578,
14522,2557,24067767583,
26323,52000,2396265.938,[0]
14433,52000,63562231.13,[1]
25989,52000,58007569.75,[1]
18606,52000,64405906.37,[1]
19319,52000,5589441.157,[1]
-1,52000,5180454.505,[1]
9054,52000,8.51E+149,[1]
18321,52000,495861.4226,[1]
26152,52000,63683082.97,[0]
19,52000,57543113.94,[1]
25970,-1,,[1]
26270,52000,5.86E+148,[1]
9051,-1,,[1]
16783,2905,36207729554,
-1,2689,36159465819,
25984,52000,56796329.36,[1]
-1,52000,1.00E+149,[1]
-1,52000,69926054.63,
15731,52000,70917305.96,[1]
-1,52000,2538300.497,[1]
10709,-1,,[0]
18650,2249,1.09E+11,
12601,-1,,[1]
-1,2813,38679527782,
-1,2825,37513619323,
26126,52000,58401368.79,[1]
-1,2869,34642472983,
-1,52000,2.55E+145,[1]
-1,2942,42803554653,
-1,2637,30932477513,
-1,3030,30716603533,
40928,52000,67890245.73,[1]
36475,52000,1046210.866,[1]
36437,-1,,[1]
44650,52000,58507125.32,[1]
26136,52000,70389946,[1]
-1,2946,34157336367,
26136,52000,63238559.03,[1]
12485,-1,,[1]
26141,52000,2497618.516,[1]
-1,2625,23799951490,
26040,52000,63684057.91,[1]
9019,52000,72846216.35,[1]
10688,-1,,[1]
15152,52000,72717173.13,[1]
-1,2677,39625682314,
-1,52000,60955504.73,[1]
-1,52000,5287359.948,[1]
10149,52000,71621660.47,[1]
36869,52000,68295902.39,[1]
16039,52000,5649415.272,[1]
-1,52000,866.5872201,[1]
26220,-1,,[1]
26066,52000,3.15E+150,[1]
26198,52000,73751745.65,[1]
-1,52000,54161412.09,
26068,52000,68142434.79,[1]
18500,-1,,[1]
26033,-1,,[1]
9842,52000,73928016.2,[1]
15050,-1,,[1]
-1,52000,490723.2575,[1]
19455,52000,63256602.62,[1]
16046,52000,6.32E+149,[1]
9921,2950,23840529034,
24220,52000,74382649.99,[1]
-1,52000,5302309.978,[1]
18568,-1,,[1]
19508,-1,,[1]
-1,52000,2.99E+150,[1]
26111,52000,56872977.12,[1]
9298,52000,1.49E+150,[1]
-1,52000,5225916.953,[1]
25937,-1,,[1]
-1,52000,74624330.83,
484,52000,8.46E+149,[1]
13549,52000,5681991.891,[1]
-1,52000,1087334.088,[1]
-1,52000,77145543.14,[1]
17195,52000,71364271.28,[1]
26272,-1,,[1]
9921,2918,25480422467,
15260,3162,35326513354,
-1,52000,9.05E+144,[1]
17862,52000,61586226.81,[1]
15277,-1,,[1]
28859,52000,896429.1473,[1]
23570,52000,56328459.1,[1]
-1,52000,55025069.51,[1]
32827,52000,63616927.75,[1]
9020,2873,23189963773,
-1,960,1.27E+11,
504,52000,5.90E+145,[1]
-1,52000,5891412.341,
9016,52000,76462251.6,[1]
41247,52000,4813427.487,[1]
-1,52000,1.30E+145,[1]
-1,2990,41961464675,
242,52000,67422339.74,[1]
24813,-1,,[1]
25870,-1,,[1]
242,-1,,[1]
-1,52000,5.10E+146,
-1,52000,2.27E+149,[1]
-1,2913,31916113333,
13719,52000,2.71E+149,[1]
-1,52000,755.3194459,[1]
-1,52000,64737736.37,[1]
-1,52000,3.05E+149,
9018,52000,1.24E+147,[1]
8986,52000,999927.8733,
13268,52000,5.64E+150,
16861,-1,,[1]
-1,52000,587.106074,
19102,3010,21702394323,
26092,-1,,[1]
26186,52000,68700692.53,[1]
25889,52000,2.14E+150,[1]
-1,52000,,
26179,52000,55952446.63,[0]
-1,52000,1001893.517,
26145,52000,2446019.215,[1]
-1,2701,37050568107,
26224,52000,4625525.531,[1]
26161,52000,74012972.22,[1]
9052,52000,1.43E+150,[1]
22805,52000,,[1]
-1,52000,1054459.2,[1]
14600,52000,2545804.444,[1]
20123,-1,,[1]
484,52000,1096268.092,[1]
10306,52000,508881.751,[1]
26385,52000,948955.8567,[1]
44479,-1,,[1]
26394,-1,,[1]
-1,52000,67210408.77,[1]
12322,52000,2792778.574,[1]
-1,52000,9.40E+149,
26151,52000,977122.9073,[1]
-1,52000,2638397.216,[1]
26135,-1,,[1]
13360,52000,8.27E+148,
26212,-1,,[0]
-1,2997,38222361754,
18967,52000,955917.8626,[1]
44643,52000,1105470.811,[1]
40551,-1,,[1]
10767,52000,76732817.11,[1]
10744,52000,2538951.042,[1]
-1,2665,29917930244,
283,52000,55821070.51,[0]
52484,52000,2446771.027,[0]
51685,-1,,[1]
16664,52000,994054.9257,[1]
26062,-1,,[1]
-1,2666,29690843968,
26134,52000,2699667.494,[1]
-1,52000,1.98E+149,[1]
-1,3054,29835676491,
44455,52000,2592529.678,[1]
26278,52000,56306286.56,[1]
484,52000,75829795.12,[1]
10814,52000,56048198.42,[1]
26517,52000,71911398.62,[1]
13306,52000,2507664.711,[1]
26175,-1,,[1]
26302,52000,63129543.35,[1]
12632,2585,23803103557,
25791,52000,5396198.303,[1]
-1,2653,33662748130,
13306,52000,4942987.552,[1]
19576,2605,29103744207,
-1,2889,44880447584,
242,-1,,[1]
36392,-1,,[1]
17017,-1,,[1]
18227,-1,,[1]
15794,52000,481696.2128,[1]
10295,52000,1.59E+149,[1]
10275,52000,73225568.49,[1]
11268,52000,62090587.42,[1]
12552,52000,1.72E+150,[1]
17245,2625,36820429934,
-1,2945,34390323191,
36527,52000,75805860.01,[1]
11791,52000,77022052.45,[0]
25865,52000,74321832.62,[1]
-1,52000,1035127.991,
10806,-1,,[1]
19380,52000,2662507.64,[1]
9016,52000,60474275.44,[1]
-1,52000,1.26E+149,[1]
242,52000,68200701.19,[1]
14729,52000,67193939.56,
52202,52000,998844.5685,[1]
19984,52000,4992417.491,[1]
19306,-1,,[1]
-1,52000,2463795.08,[1]
19485,52000,76569018.6,[1]
10802,-1,,[1]
-1,2742,32963568217,
485,52000,65889924.24,[1]
14986,-1,,[1]
26150,52000,1.23E+150,[1]
-1,52000,1068884.429,[1]
-1,52000,512.0415767,
-1,52000,2424102.224,[1]
9049,52000,491279.2283,[1]
-1,2777,40508824341,
10918,52000,480617.8313,[1]
14800,52000,55222753.33,[1]
14703,52000,60861400.53,[1]
26467,-1,,[1]
9019,2841,27441762835,
10888,52000,69790786.84,[1]
18115,-1,,[1]
18094,52000,57898289.62,[0]
18011,2950,19614985970,
-1,52000,2617410.499,
16853,3122,27344449606,
15276,52000,2488228.344,[1]
9018,2837,27087263575,
17676,52000,5237154.538,[1]
25853,52000,5143881.2,[1]
48403,-1,,[1]
-1,52000,68583925.1,[1]
-1,2714,27431071158,
12698,52000,890092.1304,[1]
-1,2689,37908387374,
26201,52000,69644742.39,[1]
40508,-1,,[1]
26028,-1,,[1]
9016,52000,5.71E+150,[1]
26344,52000,58734717.12,[1]
-1,52000,,[1]
-1,52000,5296973.035,[1]
12609,2061,1.40E+11,
9019,-1,,[1]
30207,-1,,[1]
10851,52000,65720515.39,[1]
-1,52000,5415551.661,[1]
15845,52000,5626064.515,[1]
16511,52000,3.01E+150,[1]
44567,52000,67996774.55,[1]
9924,52000,76339781.44,[1]
-1,52000,63084707.03,[1]
31158,52000,1.75E+145,[1]
17134,52000,3.76E+148,
-1,2870,42974192722,
-1,2693,37101226596,
-1,52000,68138859.68,[1]
12913,52000,69186061.03,[1]
19367,-1,,[1]
40659,-1,,[1]
16044,-1,,[1]
48956,-1,,[1]
44211,52000,2416142.384,[1]
-1,52000,969741.6232,[1]
18773,2813,22927575639,
26339,-1,,[1]
17357,-1,,[1]
248,52000,2490469.277,[1]
44354,52000,59332518.95,[1]
10255,52000,5815340.57,[1]
28947,-1,,[1]
10714,-1,,[1]
39,-1,,[1]
36082,-1,,[1]
11890,52000,64394048.03,[1]
14155,52000,4801865.402,[1]
25018,-1,,[1]
25805,52000,4742451.429,[1]
-1,2810,34070082764,
14732,52000,964229.9289,
11711,52000,54154209.57,[1]
-1,52000,71761659.24,[1]
19520,52000,60244368.99,[1]
13266,-1,,[1]
26030,-1,,[1]
12156,52000,67143349.72,[1]
-1,52000,75678117.91,[1]
26135,-1,,[1]
26300,52000,3.44E+148,[1]
-1,52000,67367493.93,[1]
9886,3014,21743757612,
26298,52000,1.58E+148,[1]
-1,52000,4972010.613,[1]
22421,52000,65326976.45,[1]
9018,2881,18291687474,
10819,-1,,[1]
-1,52000,2732768.18,[1]
28392,52000,68157193.81,[1]
12869,-1,,[1]
17634,52000,65810531.24,[1]
27715,-1,,[1]
10127,52000,1.23E+140,[1]
-1,52000,1.51E+146,[1]
-1,52000,950962.4635,[1]
-1,3106,43093474016,
13575,52000,2.20E+150,[1]
242,52000,74459044.46,[1]
23433,52000,73747015.86,[1]
-1,52000,55892047.77,[1]
14290,52000,71371857.26,[1]
13066,52000,1.57E+149,[1]
18377,52000,933277.3252,
9061,2885,33783006461,
9018,2685,21051635692,
12391,-1,,[1]
26119,52000,1.61E+150,[1]
11526,52000,55654208.97,[1]
14883,52000,63570271.92,[1]
9016,52000,6.68E+147,[0]
-1,2633,34464721774,
13626,-1,,[1]
-1,52000,5854854.623,[1]
-1,492,59644536608,
9020,52000,9.49E+149,
26030,-1,,[1]
9015,52000,503584.9453,[1]
-1,2837,40049892855,
2523,52000,3.19E+150,[1]
18602,2629,43106705706,
15282,52000,977774.9483,[1]
-1,2078,1.07E+11,
18245,2761,41701485238,
26309,-1,,[1]
3474,52000,73973324.78,[1]
33294,52000,61577962.4,[1]
11632,52000,2725956.667,[1]
26478,52000,66954457.46,[1]
-1,52000,53847108.07,[1]
-1,52000,77401405.53,[1]
-1,52000,68600744.01,
26193,52000,4.24E+150,[1]
-1,52000,2396558.257,[1]
33418,-1,,[1]
-1,52000,501890.552,[1]
-1,52000,60795319.14,[0]
36712,52000,63139873.38,[1]
9018,52000,2645754.528,[0]
38848,52000,71488618.13,[1]
26219,-1,,[0]
23809,52000,910350.6603,[1]
255,52000,71758552.73,[1]
16325,52000,76517466.16,
-1,52000,56668209.94,[1]
11807,-1,,[1]
25849,52000,55620921.31,[1]
-1,52000,4.72E+149,[1]
48699,-1,,[1]
44558,52000,838.4175429,[1]
36667,-1,,[1]
18855,52000,458948.0596,[1]
10744,52000,75955486.87,[1]
-1,2645,35964237102,
24738,52000,68038772.39,[1]
-1,52000,72137891.36,[1]
-1,52000,68553849.99,
15816,-1,,[1]
48515,-1,,[1]
28822,52000,73444807.91,[1]
26151,52000,925090.5108,[1]
-1,52000,892115.9466,[1]
26199,-1,,[1]
25929,52000,5349553.77,[1]
13411,52000,4.88E+150,[1]
12226,52000,72671195.51,[1]
-1,52000,77086965.53,
10792,52000,2575542.51,[1]
12854,2793,40871248532,
10462,52000,64167148.27,[1]
-1,52000,5022253.96,[1]
17505,-1,,[1]
26290,52000,4790311.605,[1]
-1,708,0.073719654,
9019,52000,5.62E+149,
-1,52000,1075624.776,[1]
11226,52000,68720042.02,[1]
26057,52000,5081061.684,[1]
314,52000,63261404.29,[1]
-1,2978,41759701339,
15354,2905,29924921317,
26183,-1,,[1]
28791,-1,,[1]
25866,-1,,[1]
16706,2575,96041316009,
13300,52000,64289908.66,[1]
-1,52000,2.21E+148,[1]
18868,52000,719.4441912,[1]
-1,2781,42122253196,
26205,-1,,[1]
41191,-1,,[1]
9019,2869,22053146794,
-1,52000,2.28E+150,
26171,52000,5018811.985,[1]
14476,52000,456465.6148,[1]
-1,52000,55742552.07,[1]
14213,52000,2525049.084,[1]
19285,52000,1.15E+146,[1]
25864,52000,63015187.14,[1]
-1,52000,2611710.811,[1]
-1,1734,1.55E+11,
4926,52000,2664902.235,[1]
26133,52000,2560276.139,[1]
-1,52000,67904815.61,
-1,52000,7.97E+148,[1]
26168,52000,68740998.75,[1]
15075,52000,72493263.64,[1]
-1,-1,,[1]
40366,52000,67005606.2,[1]
9021,2865,22426410506,
-1,2465,24913690670,
26221,52000,3.22E+142,[1]
-1,52000,5769009.475,[1]
44231,-1,,[1]
-1,2857,34873181999,
16059,-1,,[1]
5938,-1,,[1]
8985,52000,69846316.84,[1]
8986,2901,19028118802,
-1,52000,56138526.95,[1]
13090,52000,2673897.068,[1]
26048,-1,,[1]
-1,52000,54972165.84,
-1,52000,68328496.18,[1]
18802,2866,38921831526,
26294,52000,73279613.27,[1]
11956,52000,68510065.49,[1]
16714,52000,991943.6645,[1]
15687,-1,,[1]
11203,52000,63143003.21,[1]
26126,52000,2439887.376,[1]
19483,52000,901920.8833,[1]
-1,52000,918298.4312,
12068,52000,68350651.15,[1]
13993,52000,2476089.328,[1]
11316,2938,37579299781,
-1,2842,34034330180,
12994,2714,34354369929,
26099,52000,70853555.86,[1]
32661,-1,,[1]
-1,52000,1.05E+147,[1]
31049,-1,,[1]
-1,52000,63887757.83,
11208,-1,,[1]
10760,-1,,[1]
25905,52000,2462951.386,[1]
47584,-1,,[1]
242,52000,67590455.24,[1]
48129,52000,64947868.23,[1]
-1,2897,28489934511,
-1,52000,5389669.948,[1]
15729,52000,2485984.429,[1]
9020,2913,16620313183,
40614,52000,3.10E+149,[1]
25878,-1,,[1]
17708,2597,33145169285,
26029,52000,2697279.542,[1]
-1,52000,519893.8249,[1]
18028,52000,66806200.88,[1]
-1,2833,38021678159,
-1,52000,60590417.55,[1]
-1,52000,1545.406732,[1]
36921,-1,,[1]
18167,52000,62913120.93,[1]
25986,52000,62846235,[1]
-1,52000,917053.4525,
-1,52000,65012918.97,[1]
-1,52000,5.15E+150,
-1,52000,63353035.61,
39,52000,62044030.25,
8981,52000,2466044.884,[1]
8994,52000,55955445.14,[1]
26364,-1,,[1]
-1,52000,1080259.95,
40708,52000,65301177.37,[0]
-1,636,0.079318674,
8985,52000,5051769.449,[1]
-1,52000,1030984.241,[1]
21612,52000,1.13E+149,[0]
-1,2773,39482378104,
18014,52000,6.78E+149,[1]
7644,52000,1.53E+148,[1]
26134,52000,3.50E+147,[0]
52197,52000,1013093.777,[1]
26219,52000,66785206.18,[1]
-1,2561,26050446109,
13537,52000,73855824.73,[1]
11413,52000,4.06E+149,
19957,52000,1013755.802,[1]
26043,52000,57604866.6,[1]
25783,52000,2610048.813,[1]
16969,52000,68295693.47,[1]
-1,52000,2333000.903,[1]
9016,52000,59110651.88,[1]
-1,52000,5568878.513,[1]
28327,52000,70568677.38,[1]
18571,52000,8.55E+148,[1]
40432,52000,938188.3271,[0]
8986,52000,1.30E+149,
6733,-1,,[1]
10599,52000,2383684.766,[1]
26313,52000,8.55E+145,[1]
8982,2689,20547275748,
36523,52000,71573386.27,[1]
26208,52000,901490.8757,[1]
13549,52000,65238577.77,[1]
14146,2549,23986017010,
-1,52000,68545026.68,[1]
271,-1,,[1]
40818,52000,1017340.979,[1]
14847,2921,46068330470,
25787,52000,56876681.6,[1]
11940,-1,,[0]
15503,2853,37244388704,
254,52000,1030524.028,[1]
12814,-1,,[1]
48350,52000,2.95E+150,[1]
60,52000,4919308.065,[1]
26458,52000,70559261.46,[1]
-1,2585,28568783501,
17512,-1,,[1]
-1,52000,1070381.803,[1]
26313,52000,60935189.69,[1]
-1,2521,22661109839,
10155,-1,,[1]
26049,52000,64752617.22,[1]
8986,-1,,[1]
-1,52000,4.03E+149,[1]
-1,2962,40852444510,
19783,2601,25923592360,
26198,52000,71503316.97,[1]
4838,-1,,[1]
41093,52000,4933694.921,[1]
36526,52000,487252.2428,[1]
9015,-1,,[0]
484,52000,69796203.8,[1]
26310,52000,59654031.09,[1]
18315,52000,70674142.48,[1]
10849,52000,68808102.6,[1]
10739,-1,,[1]
-1,2653,37822773971,
40514,52000,66090507.91,[1]
26449,-1,,[1]
52607,52000,69768279.75,[1]
17451,52000,3.84E+148,[1]
4813,52000,59330301.41,[1]
2703,-1,,[1]
26150,52000,71966656.49,[1]
26076,52000,54011829.57,[1]
-1,3110,33415546866,
12357,52000,5.30E+150,[1]
19160,52000,54664079.53,[1]
32597,52000,71554619.61,[1]
-1,2813,46187520439,
22105,52000,61055949.84,[1]
22598,-1,,[1]
-1,52000,2612459.072,
17834,-1,,[1]
-1,2957,34676227517,
-1,2822,36479059844,
26148,52000,70264346.37,[1]
9020,2841,25091400802,
11248,52000,71213810.14,[1]
3493,52000,,[1]
36711,52000,992971.1528,[1]
40721,-1,,[1]
19023,52000,72913820.49,[1]
-1,52000,3.67E+149,[1]
8983,-1,,[1]
-1,288,0.100885263,
13284,52000,1.77E+150,[1]
13296,2974,27731380670,
25916,52000,73123543.01,[1]
8984,2785,19630491546,
25783,52000,74081232.73,[1]
-1,52000,3.91E+149,[1]
10289,2942,18991548273,
26081,-1,,[1]
21906,52000,5279281.952,[1]
26121,52000,967908.5573,[1]
18653,52000,520590.3128,[1]
16372,52000,5968206.69,[1]
12950,52000,58965899.18,[1]
13008,2718,25301668278,
17047,52000,5589417.328,
44346,52000,1.90E+146,[1]
25680,-1,,[1]
23027,52000,953798.3569,[1]
18984,688,77.78515681,
26249,52000,59461734.94,[1]
20411,52000,56718034.7,[1]
-1,2837,40969363282,
16477,52000,2374501.404,[1]
35928,-1,,[1]
12786,-1,,[1]
9386,52000,65178884.65,[1]
-1,52000,60350388.59,
19121,52000,59008844.16,[1]
32503,52000,950901.1209,[1]
36790,52000,469016.6744,[1]
9052,2781,29502420145,
8985,-1,,[1]
9019,52000,5607771.545,[1]
25999,52000,65726645.49,[1]
11483,52000,2493448.635,
-1,52000,898368.0214,[1]
12749,-1,,[1]
18123,52000,73236141.75,[1]
48427,-1,,[1]
9018,52000,1086775.187,[1]
11874,52000,1084300.384,[1]
14669,52000,59713342.36,[1]
-1,52000,66916170.04,[1]
495,52000,6.40E+145,[1]
13519,52000,67478186.45,[1]
12296,52000,62638488.77,[1]
-1,52000,2644406.871,[1]
52143,52000,1097784.598,[1]
-1,52000,64356762.44,[1]
26097,-1,,[1]
242,-1,,[1]
-1,2661,40849558825,
-1,52000,4918061.827,[1]
26834,-1,,[1]
15670,2569,28300027529,
10846,52000,2426208.999,[1]
-1,52000,2.60E+149,[1]
12444,2593,29354490096,
26250,52000,55545453.49,[1]
-1,52000,1012989.38,[1]
26127,52000,60494404.42,[1]
26186,52000,65990744.12,[1]
32213,52000,55875701.76,[1]
11158,52000,2554460.614,[1]
29285,52000,948667.8973,[1]
9919,2822,25163658514,
22072,-1,,[1]
17209,52000,1.22E+149,[1]
-1,3042,39933271655,
-1,2849,38891534156,
-1,52000,926.3601748,
-1,2801,37324831060,
26030,-1,,[1]
13702,3010,35214892945,
-1,52000,64005243.43,[1]
15035,52000,492212.3931,[1]
39,2682,31767814538,
9043,52000,60150515.09,[0]
-1,3074,29702520887,
28791,52000,71713938.4,[1]
16497,52000,68625525.75,[1]
-1,52000,1045128.169,
8986,2809,25925939600,
25755,-1,,[1]
16689,3102,29650426966,
26182,52000,68069263.62,[1]
-1,2885,37388631460,
1,2818,42224130399,
32908,52000,56452454.55,[1]
17991,52000,62541364.02,[1]
25725,-1,,[1]
18224,52000,2643839.129,[1]
32609,-1,,[1]
16341,-1,,[1]
-1,52000,1.24E+149,
52290,52000,68196065.39,[1]
18401,52000,66813602.99,[1]
26083,-1,,[1]
16691,52000,67485782.86,[1]
26086,52000,58471013.5,[1]
484,52000,68231167.02,[1]
26141,52000,72989454.09,[1]
-1,2965,25274174548,
10837,-1,,[1]
247,-1,,[0]
26178,52000,960592.2937,[1]
15951,52000,3.97E+150,[1]
26384,52000,67114838.75,[1]
11327,52000,,[1]
-1,52000,8.44E+150,[1]
45090,-1,,[1]
16313,2901,31929237123,
-1,2933,35121573866,
514,-1,,[1]
15941,52000,68602735.16,[1]
-1,52000,71003363.73,[1]
26168,52000,4740926.744,[1]
17420,52000,5375280.952,[0]
32875,52000,3.52E+149,[1]
8983,2781,20664408992,
15962,52000,74706529.04,[1]
-1,52000,6.08E+149,
19284,52000,950490.3541,[1]
25824,-1,,[1]
-1,52000,73595988.75,[1]
64,52000,64356936.23,[0]
39,2958,41130144625,
14766,52000,5567658.656,[1]
8987,52000,70183591.66,[1]
26114,52000,65794133.22,[1]
3308,52000,5182003.061,[1]
-1,52000,5235194.535,[1]
32204,-1,,[1]
-1,52000,2805039.044,[1]
52639,52000,67317076.52,[1]
13845,52000,977911.7578,[1]
15719,52000,76366904.11,[1]
15827,52000,5327735.643,[1]
-1,2718,34204403789,
39,2866,43477393036,
15992,52000,918853.1702,
4780,-1,,[1]
290,52000,1040432.814,[1]
16503,-1,,[1]
18200,52000,74871848.14,[1]
-1,52000,2456708.842,[1]
1,3014,43337135885,
-1,52000,59929384.7,[1]
26231,-1,,[1]
12601,3034,36793316796,
-1,52000,562.3922303,[1]
26104,52000,1029599.46,[1]
26062,52000,1072555.281,[1]
44868,52000,56711466.8,[1]
-1,52000,59064835.04,[1]
4714,-1,,[1]
-1,2921,43879956985,
19126,-1,,[1]
39,52000,5763802.798,[1]
22722,52000,5590529.032,[1]
-1,52000,3.80E+150,[1]
26083,52000,65724088.8,[1]
25985,52000,5823615.213,[1]
11168,-1,,[1]
-1,2921,34938768095,
-1,52000,59718576.84,[1]
8985,2861,20294461445,
16721,52000,67802811.72,[1]
26184,52000,71643474.4,[1]
-1,52000,1013903.048,[1]
-1,52000,62979537.73,[1]
26081,52000,8.27E+148,[1]
26063,52000,54005645.25,[1]
15429,-1,,[1]
40208,-1,,[1]
-1,52000,61985557.29,[1]
13737,-1,,[1]
